,rmse,mae,r2,score,mape
67,25.11062711412491,20.005706743512835,0.9586088071408346,0.9587435324266137,0.1160605129254275
68,29.489487002932073,22.714000331333704,0.8885253186673888,0.890200291039039,0.14054862603261337
69,34.23266002063948,25.995232140677317,0.9560279581897925,0.9638243929414345,0.0991353904690445
70,34.02436308833654,23.786490086146763,0.967225149333395,0.9672251505271874,0.09222807017970118
71,23.394002821024923,17.45606798716954,0.9637203810237074,0.9637204389907338,0.10732153634722513
72,16.846899402437714,12.850835405077254,0.935438666468137,0.9354502820138045,0.126991827477693
73,33.21853012128792,23.90197014399937,0.9828644654475389,0.9828712893008349,0.08534008038583644
74,15.38551616954689,11.253051381792341,0.9295774298452433,0.9302602912702959,0.14345003998576186
75,70.00389944949771,43.014910375050135,0.9729133948596997,0.9729181089096653,0.14011961033896533
76,70.22833402114718,51.12092168535505,0.9542107299928635,0.9542884892495952,0.14718654821443095
77,52.21965921408635,37.74059363228934,0.9734845798281593,0.9739221157168438,0.11851102618927582
78,46.03785506825624,33.36125332423619,0.9760087098436722,0.9760147326386032,0.07774918052000367
79,29.294954429905182,21.02323897225516,0.8907021853463215,0.8921101642519386,0.13470965186122125
80,19.744876999114528,14.012265859331404,0.9731785470965322,0.9745576132720136,0.13767416089566922
